id,type,flavor,filling,size,layers,frosting type,frosting flavor,decoration type,decoration color,custom message,shape,allergies,special ingredients,packaging type,price,quantity
1,Graduation,Coffee,Cream Cheese,Large,4,Cream Cheese,Red Velvet,Drip Design,Ivory,Message 1,Round,Nuts,None,Box,114.31,4
2,Valentine,Strawberry,Vanilla Cream,Large,3,Buttercream,Vanilla,Flowers,Black,Message 2,Rectangle,Dairy,Gluten-Free Flour,Premium Box,89.38,2
3,Wedding,Lemon,Lemon Curd,Medium,5,Cream Cheese,Chocolate,Hearts,Purple,Message 3,Rectangle,Dairy,Gluten-Free Flour,Custom Packaging,63.57,4
4,Valentine,Coffee,Caramel,Medium,5,Buttercream,Strawberry,Drip Design,White,Message 4,Square,Nuts,None,Premium Box,129.02,2
5,Anniversary,Coffee,Cream Cheese,Medium,2,Cream Cheese,Chocolate,Sprinkles,Black,Message 5,Round,Gluten,Sugar-Free,Custom Packaging,118.19,5
6,Graduation,Coffee,Caramel,Large,4,Whipped Cream,Strawberry,Drip Design,White,Message 6,Square,None,None,Premium Box,15.16,5
7,Anniversary,Chocolate,Strawberry Jam,Large,1,Cream Cheese,Red Velvet,Hearts,Black,Message 7,Round,Gluten,Gluten-Free Flour,Box,64.23,3
8,Valentine,Red Velvet,Vanilla Cream,Small,4,Cream Cheese,Chocolate,Sprinkles,White,Message 8,Rectangle,Dairy,Vegan,Box,66.97,2
9,Engagement,Vanilla,Caramel,Small,1,Buttercream,Vanilla,Hearts,Red,Message 9,Square,Gluten,Vegan,Premium Box,139.29,3
10,Graduation,Lemon,Cream Cheese,Large,1,Whipped Cream,Coffee,Classic,Red,Message 10,Rectangle,Nuts,Vegan,Premium Box,148.98,3
11,Baby Shower,Chocolate,Lemon Curd,Small,4,Cream Cheese,Vanilla,Minimalist,Purple,Message 11,Round,None,None,Premium Box,114.0,5
12,Birthday,Vanilla,Vanilla Cream,Small,4,Cream Cheese,Lemon,Sprinkles,Red,Message 12,Square,Gluten,Gluten-Free Flour,Premium Box,45.44,1
13,Baby Shower,Red Velvet,Vanilla Cream,Small,1,Whipped Cream,Chocolate,Classic,Red,Message 13,Square,Dairy,Sugar-Free,Premium Box,53.7,1
14,Engagement,Red Velvet,Cream Cheese,Medium,2,Buttercream,Funfetti,Hearts,Blue,Message 14,Square,Gluten,Vegan,Box,125.5,1
15,Anniversary,Lemon,Mocha Cream,Large,4,Whipped Cream,Red Velvet,Sprinkles,Ivory,Message 15,Square,Nuts,Sugar-Free,Box,121.21,4
