id,Type,Flavor,Filling,Size,Layers,Frosting Type,Frosting Flavor,Decoration Type,Decoration Color,Custom Message,Shape,Allergies,Special Ingredients,Packaging Type,Price,Quantity
4,1,114,Graduation,Coffee,Cream Cheese,Large,4,Cream Cheese,Red Velvet,Drip Design,Ivory,Message 1,Round,Nuts,None,Box
2,2,89,Valentine,Strawberry,Vanilla Cream,Large,3,Buttercream,Vanilla,Flowers,Black,Message 2,Rectangle,Dairy,Gluten-Free Flour,Premium Box
4,3,63,Wedding,Lemon,Lemon Curd,Medium,5,Cream Cheese,Chocolate,Hearts,Purple,Message 3,Rectangle,Dairy,Gluten-Free Flour,Custom Packaging
2,4,129,Valentine,Coffee,Caramel,Medium,5,Buttercream,Strawberry,Drip Design,White,Message 4,Square,Nuts,None,Premium Box
5,5,118,Anniversary,Coffee,Cream Cheese,Medium,2,Cream Cheese,Chocolate,Sprinkles,Black,Message 5,Round,Gluten,Sugar-Free,Custom Packaging
5,6,15,Graduation,Coffee,Caramel,Large,4,Whipped Cream,Strawberry,Drip Design,White,Message 6,Square,None,None,Premium Box
3,7,64,Anniversary,Chocolate,Strawberry Jam,Large,1,Cream Cheese,Red Velvet,Hearts,Black,Message 7,Round,Gluten,Gluten-Free Flour,Box
2,8,66,Valentine,Red Velvet,Vanilla Cream,Small,4,Cream Cheese,Chocolate,Sprinkles,White,Message 8,Rectangle,Dairy,Vegan,Box
3,9,139,Engagement,Vanilla,Caramel,Small,1,Buttercream,Vanilla,Hearts,Red,Message 9,Square,Gluten,Vegan,Premium Box
3,10,148,Graduation,Lemon,Cream Cheese,Large,1,Whipped Cream,Coffee,Classic,Red,Message 10,Rectangle,Nuts,Vegan,Premium Box
5,11,114,Baby Shower,Chocolate,Lemon Curd,Small,4,Cream Cheese,Vanilla,Minimalist,Purple,Message 11,Round,None,None,Premium Box
1,12,45,Birthday,Vanilla,Vanilla Cream,Small,4,Cream Cheese,Lemon,Sprinkles,Red,Message 12,Square,Gluten,Gluten-Free Flour,Premium Box
1,13,53,Baby Shower,Red Velvet,Vanilla Cream,Small,1,Whipped Cream,Chocolate,Classic,Red,Message 13,Square,Dairy,Sugar-Free,Premium Box
1,14,125,Engagement,Red Velvet,Cream Cheese,Medium,2,Buttercream,Funfetti,Hearts,Blue,Message 14,Square,Gluten,Vegan,Box
